S.N,PCI ,IRI
1,48,7.1
2,48,7.23
3,50,6.98
4,50,6.88
5,0,16.25
6,2,14.15
7,48,7.25
8,50,7.15
9,58,5.46
10,54,6.38
11,54,6.11
12,44,7.99
13,48,7.22
14,92,1.13
15,72,3.75
16,74,3.48
17,78,2.85
18,66,3.94
19,54,5.83
20,66,4.47
21,66,4.19
22,66,4.32
23,74,3.51
24,80,2.58
25,74,3.38
26,65,4.22
27,64,4.63
28,62,4.55
29,62,4.18
30,74,4.01
31,58,4.84
32,50,6.25
33,46,6.71
34,58,5.42
35,58,4.27
36,57,4.48
37,78,3.07
38,82,2.34
39,74,3.15
40,82,2.35
41,50,6.2
42,46,6.9
43,40,7.77
44,48,7.22
45,38,8.41
46,32,8.77
47,30,9.22
48,82,2.40 
49,40,8.12
50,40,3.5
51,26,11.21
52,20,12.52
53,82,2.31
54,84,2.05
55,84,2.12
56,86,1.90 
57,88,1.52
58,56,6.05
59,56,6.01
60,56,5.85
61,54,6.35
62,52,6.5
63,52,6.45
64,50,6.7
65,50,6.15
66,48,7.15
67,46,7.62
68,44,7.65
69,44,7.56
70,40,7.93
71,40,7.61
72,36,8.86
73,38,8.24
74,26,11.53
75,36,8.93
76,52,6.64
77,20,10.27
78,16,12.5
79,28,9.15
80,24,9.05
81,24,9.97
82,22,9.15
83,20,9.99
84,99,0.89
85,94,1.2
86,82,2.48
87,52,6.12
88,50,6.25
89,50,6.31
90,50,6.55
91,52,5.18
92,50,5.82
93,50,6.12
94,46,7.28
95,36,9.15
96,36,9.18
97,32,10.95
98,28,12.22
99,33,10.22
100,20,12.23
101,35,9.25
102,34,9.65
103,36,9.15
104,42,8.15
105,42,8.47
106,46,7.15
107,44,7.8
108,45,7.56
109,50,6.52
110,44,7.9
111,45,6.15
112,98,0.56
113,42,8.15
114,40,8.05
115,40,8.35
116,40,8.40 
117,38,8.42
118,78,2.93
119,74,3.4
120,74,3.51
121,78,3.04
122,80,2.59
123,78,2.89
124,82,2.53
125,82,2.65
126,76,3.11
127,76,3.05
128,74,3.29
129,66,3.96
130,74,3.22
131,82,2.64
132,64,4.9
133,62,5.1
134,62,5.2
135,62,5.18
136,88,1.68
137,88,1.66
138,86,1.85
139,86,2.3
140,84,2.15
141,84,2.18
142,54,6.38
143,92,0.81
144,90,0.78
145,88,1.56
146,88,1.65
147,88,1.62
148,58,5.78
149,56,6.08
150,92,1.08
151,86,1.86
152,86,1.94
153,48,7.27
154,86,1.77
155,96,0.85
156,96,1.05
157,87,2.12
158,100,0.88
159,75,2.97
160,70,3.87
161,56,5.47
162,62,4.53
163,64,4.83
164,52,6.9
165,56,5.44
166,68,4.51
167,62,5.02
168,43,7.25
169,64,4.78
170,60,5.14
171,53,6.04
172,56,6.08
173,52,6.93
174,45,7.79
175,48,7.15
176,56,6.45
177,62,5.08
178,58,5.99
179,56,6.15
180,75.5,2.82
181,68,4.73
182,82,1.53
183,86,1.25
184,70,3.77
185,60,4.69
186,70,3.89
187,62,5.23
188,60,5.13
189,72,3.9
190,76,3.34
191,82,2.31
192,86,2.27
193,74,2.87
194,76,2.89
195,72,3.91
196,50,6.01
197,66,5.03
198,60,4.98
199,62,4.98
200,66,4.25
201,78,2.39
202,58,6
203,72,3.98
204,82,2.46
205,70,3.05
206,60,4.94
207,62,4.19
208,86,2.3
209,74,3.59
210,68,3.47
211,86,2.35
212,91,1.54
213,82,2.17
214,70,3.01
215,68,4.06
216,84,2.39
217,70,2.85
218,60,5.38
219,62,4.42
220,69,3.88
221,64,5.32
222,50,6.95
223,54,6.11
224,55,6.11
225,52,6.11
226,58,5.95
227,68,4.38
228,76,3.15
229,74,3.19
230,66,4.52
231,60,5.46
232,64,4.5
233,74,3.07
234,100,0.8
235,64,4.89
236,87,2.07
237,88,1.76
238,64,4.69
239,80,2.86
240,64,4.99
241,56,5.91
242,64,4.68
243,60,5.26
244,62,4.94
245,62,4.82
246,48,7.07
247,60,5.34
248,58,5.61
249,52,6.48
250,60,5.16
251,54,6.14
252,58,5.48
253,58,5.18
254,58,5.39
255,54,6.57
256,54,6.29
257,92,1.65
258,58,5.09
259,78,2.99
260,80,2.91
261,74,3.28
262,80,2.81
263,83,2.83
264,78,3.01
265,84,2.66
266,84,2.38
267,88,1.79
268,72,3.51
269,72,2.78
270,84,2.77
271,84,2.75
272,84,2.59
273,90,1.25
274,71,3.84
275,70,3.85
276,67,4.5
277,66,4.7
278,66,4.66
279,64,4.6
280,58,5.84
281,56,5.81
282,52,6.65
283,48,7.22
